0.462686567	0.53	0
1	0.29	1
1	0.22	1
0.940298507	0.65	1
1	0.38	1
0.059701493	0.71	0
0.014925373	0.46	0
0.791044776	0.68	0
0.268656716	0.71	0
0.104477612	0.61	0
0.313432836	0.33	1
0.880597015	0.44	1
0.835820896	0.76	0
0.432835821	0.26	1
0.910447761	0.35	1
1	0.13	1
1	0.77	1
0.059701493	0.71	0
0.865671642	0.19	1
0.014925373	0.42	0
0.208955224	0.42	0
0.985074627	0.58	1
0.447761194	0.71	0
1	0.38	1
0.940298507	0.61	1
0.611940299	0.71	0
1	0.51	1
0.567164179	0.52	0
0.014925373	0.61	0
0.208955224	0.29	1
0.268656716	0.51	0
0.835820896	0.53	1
0.626865672	0.19	1
0.835820896	0.45	1
0.611940299	0.77	0
1	0.22	1
1	0.64	1
0.597014925	0.46	1
1	0.49	1
0.208955224	0.13	1
1	0.29	1
0.23880597	0.71	0
0.791044776	0.68	0
0.492537313	0.49	0
0.104477612	0.62	0
0.985074627	0.64	1
0.149253731	0.77	0
0.059701493	0.33	0
1	0.29	1
0.014925373	0.49	0
0.089552239	0.12	1
0.014925373	0.58	0
1	0.68	1
0.208955224	0.12	1
1	0.12	1
0.537313433	0.46	1
0.567164179	0.13	1
1	0.59	1
0.597014925	0.26	1
1	0.35	1
0.313432836	0.28	1
0.059701493	0.69	0
1	0.62	1
0.447761194	0.59	0
0.567164179	0.56	0
0.701492537	0.61	0
0.014925373	0.59	0
0.134328358	0.45	0
0.940298507	0.71	1
0.208955224	0.44	0
0.358208955	0.71	0
0.104477612	0.59	0
0.104477612	0.61	0
1	0.53	1
0.820895522	0.59	1
0.014925373	0.35	0
1	0.47	1
0.611940299	0.61	0
0.895522388	0.28	1
0.611940299	0.62	0
0.059701493	0.29	0
0.223880597	0.45	0
0.985074627	0.49	1
0.76119403	0.71	0
1	0.29	1
0.014925373	0.49	0
0.611940299	0.45	1
0.074626866	0.77	0
0.059701493	0.51	0
0.313432836	0.37	1
0.014925373	0.45	0
0.014925373	0.62	0
0.014925373	0.44	0
0.47761194	0.81	0
0.313432836	0.68	0
0.985074627	0.64	1
0.014925373	0.61	0
0.059701493	0.59	0
0.835820896	0.28	1
0.358208955	0.59	0
1	0.33	1
0.014925373	0.49	0
0.223880597	0.71	0
0.940298507	0.49	1
0.014925373	0.61	0
0.014925373	0.81	0
0.059701493	0.62	0
0.208955224	0.71	0
1	0.33	1
0.701492537	0.13	1
0.208955224	0.59	0
0.388059701	0.71	0
0.567164179	0.47	1
0.701492537	0.48	1
0.611940299	0.59	0
1	0.77	1
0.388059701	0.35	1
0.208955224	0.46	0
0.313432836	0.71	0
0.552238806	0.45	1
0.014925373	0.42	0
0.134328358	0.65	0
0.313432836	0.59	0
0.985074627	0.42	1
0.014925373	0.77	0
0.223880597	0.22	1
0.791044776	0.77	0
1	0.61	1
0.014925373	0.35	0
1	0.58	1
0.28358209	0.51	0
0.701492537	0.71	0
0.835820896	0.69	0
0.940298507	0.71	1
0.940298507	0.49	1
0.597014925	0.46	1
0.208955224	0.38	0
0.76119403	0.49	1
0.089552239	0.33	0
0.313432836	0.64	0
0.701492537	0.58	1
0.701492537	0.46	1
0.134328358	0.49	0
0.880597015	0.47	1
0.223880597	0.35	0
0.014925373	0.47	0
0.432835821	0.38	1
1	0.49	1
1	0.22	1
0.76119403	0.42	1
0.104477612	0.38	0
0.044776119	0.81	0
0.014925373	0.49	0
1	0.48	1
0.567164179	0.53	0
0.985074627	0.62	1
0.134328358	0.49	0
0.014925373	0.59	0
0.358208955	0.28	1
0.014925373	0.51	0
1	0.71	1
0.447761194	0.58	0
0.611940299	0.46	1
0.910447761	0.42	1
0.059701493	0.44	0
0.611940299	0.29	1
0.865671642	0.42	1
0.208955224	0.37	0
0.402985075	0.35	1
0.835820896	0.45	1
0.597014925	0.47	1
0.014925373	0.47	0
0.164179104	0.58	0
0.014925373	0.61	0
0.223880597	0.35	0
1	0.13	1
0.059701493	0.44	0
0.880597015	0.71	0
0.537313433	0.37	1
0.149253731	0.53	0
1	0.35	1
1	0.71	1
0.432835821	0.59	0
0.313432836	0.45	0
0.059701493	0.47	0
0.835820896	0.76	0
0.611940299	0.26	1
0.985074627	0.45	1
0.014925373	0.12	0
0.014925373	0.28	0
0.865671642	0.47	1
0.28358209	0.58	0
0.268656716	0.29	1
0.059701493	0.21	0
0.626865672	0.22	1
0.104477612	0.29	0
0.985074627	0.38	1
0.28358209	0.68	0
0.074626866	0.71	0
0.313432836	0.71	0
0.014925373	0.51	0
0.268656716	0.47	0
0.701492537	0.64	0
0.985074627	0.61	1
0.76119403	0.77	0
0.567164179	0.37	1
0.358208955	0.37	1
0.059701493	0.49	0
0.611940299	0.61	0
0.447761194	0.37	1
0.313432836	0.49	0
0.880597015	0.19	1
0.507462687	0.49	1
0.940298507	0.44	1
0.611940299	0.12	1
0.388059701	0.51	0
1	0.58	1
0.134328358	0.42	0
0.014925373	0.45	0
0.089552239	0.62	0
1	0.28	1
0.552238806	0.61	0
0.014925373	0.19	0
0.014925373	0.44	0
0.014925373	0.47	0
0.701492537	0.59	1
0.014925373	0.58	0
1	0.77	1
0.447761194	0.68	0
0.820895522	0.47	1
0.014925373	0.44	0
0.447761194	0.45	1
0.014925373	0.13	0
0.208955224	0.47	0
0.059701493	0.26	0
0.597014925	0.45	1
0.880597015	0.22	1
0.28358209	0.13	1
1	0.71	1
0.059701493	0.28	0
0.447761194	0.29	1
0.791044776	0.59	1
0.104477612	0.59	0
0.014925373	0.26	0
0.567164179	0.44	1
1	0.42	1
0.537313433	0.13	1
0.611940299	0.65	0
0.014925373	0.56	0
0.014925373	0.46	0
0.567164179	0.56	0
0.940298507	0.61	1
0.611940299	0.64	0
0.47761194	0.61	0
1	0.46	1
0.164179104	0.29	0
0.597014925	0.51	1
0.104477612	0.71	0
1	0.47	1
0.014925373	0.76	0
0.014925373	0.59	0
0.985074627	0.33	1
0.268656716	0.37	0
0.820895522	0.49	1
0.014925373	0.64	0
0.985074627	0.56	1
0.014925373	0.53	0
0.985074627	0.35	1
0.940298507	0.47	1
0.940298507	0.46	1
0.059701493	0.62	0
0.940298507	0.13	1
0.313432836	0.59	0
0.029850746	0.71	0
0.940298507	0.71	1
0.820895522	0.56	1
1	0.12	1
0.059701493	0.26	0
0.880597015	0.38	1
0.417910448	0.46	0
0.014925373	0.49	0
1	0.71	1
0.014925373	0.71	0
1	0.61	1
1	0.38	1
0.014925373	0.65	0
1	0.42	1
0.865671642	0.68	1
